country,year,pr,tas
DEU,1990,733.92,9.81
DEU,1991,604.67,8.72
DEU,1992,734.9,9.64
DEU,1993,793.51,8.75
DEU,1994,789.35,9.93
DEU,1995,782.01,9.14
DEU,1996,622.83,7.51
DEU,1997,665.8,9.13
DEU,1998,809.47,9.29
DEU,1999,769.28,9.75
DEU,2000,758.17,10.14
DEU,2001,813.09,9.2
DEU,2002,910.79,9.75
DEU,2003,568.28,9.51
DEU,2004,731.82,9.17
DEU,2005,718.29,9.22
DEU,2006,701.53,9.75
DEU,2007,885.89,10.1
DEU,2008,720.73,9.81
DEU,2009,749.6,9.55
DEU,2010,789.42,8.23
DEU,2011,677.3,10.02
DEU,2012,726.08,9.46
DEU,2013,742.89,9.09
DEU,2014,713.77,10.64
DEU,2015,654.88,10.33
DEU,2016,713.92,9.86
DEU,2017,815.27,9.9
DEU,2018,570.77,10.73
DEU,2019,676.95,10.56
DEU,2020,661.47,10.75
DEU,2021,772.59,9.48
DEU,2022,612.5,10.79
ESP,1990,524.45,14.05
ESP,1991,561.4,13.43
ESP,1992,572.21,13.45
ESP,1993,592.45,13.03
ESP,1994,531.37,14
ESP,1995,550.22,14.32
ESP,1996,852.35,13.56
ESP,1997,811.1,14.41
ESP,1998,499.79,13.94
ESP,1999,599.22,13.79
ESP,2000,661.16,13.87
ESP,2001,613.77,14
ESP,2002,704.38,13.96
ESP,2003,732.23,14.27
ESP,2004,587.08,13.85
ESP,2005,464.1,13.75
ESP,2006,635.95,14.35
ESP,2007,573.08,13.78
ESP,2008,688.72,13.76
ESP,2009,614.93,14.28
ESP,2010,831.33,13.76
ESP,2011,543.04,14.44
ESP,2012,530.77,13.92
ESP,2013,694.07,13.74
ESP,2014,650.79,14.51
ESP,2015,489.87,14.52
ESP,2016,647.87,14.4
ESP,2017,465.42,14.69
ESP,2018,791.86,14.11
ESP,2019,557.29,14.37
ESP,2020,635.25,14.77
ESP,2021,613.49,14.44
ESP,2022,556.8,15.16
SWE,1990,668.18,3.92
SWE,1991,597.76,2.99
SWE,1992,667.52,3.44
SWE,1993,664.17,2.45
SWE,1994,576.43,2.57
SWE,1995,630.42,2.65
SWE,1996,569.51,1.91
SWE,1997,587.19,3.19
SWE,1998,772.37,2.36
SWE,1999,687.78,3.12
SWE,2000,819.2,3.96
SWE,2001,712.72,2.69
SWE,2002,592.63,3.22
SWE,2003,577.13,3.15
SWE,2004,651.64,3.19
SWE,2005,631.38,3.53
SWE,2006,651.51,3.81
SWE,2007,682.77,3.69
SWE,2008,695.15,3.85
SWE,2009,659.81,3.17
SWE,2010,643.81,1.33
SWE,2011,682.56,4
SWE,2012,734.25,2.59
SWE,2013,586.05,3.4
SWE,2014,633.66,4.22
SWE,2015,690.21,4.01
SWE,2016,624.79,3.5
SWE,2017,678.04,3.23
SWE,2018,538.61,3.76
SWE,2019,681.3,3.51
SWE,2020,668.09,4.61
SWE,2021,608.6,3.11
SWE,2022,604.76,3.9
FRA,1990,765.92,11.72
FRA,1991,712.01,10.76
FRA,1992,872.16,11.16
FRA,1993,885.24,10.82
FRA,1994,960.78,12.02
FRA,1995,879.89,11.5
FRA,1996,871.28,10.46
FRA,1997,805.69,11.74
FRA,1998,807.06,11.32
FRA,1999,988.91,11.7
FRA,2000,953.07,11.91
FRA,2001,890.61,11.42
FRA,2002,947.14,11.85
FRA,2003,739.86,11.83
FRA,2004,778.25,11.34
FRA,2005,672.13,11.33
FRA,2006,814.53,11.89
FRA,2007,824.43,11.69
FRA,2008,928.54,11.36
FRA,2009,807.25,11.69
FRA,2010,841.9,10.6
FRA,2011,729.03,12.28
FRA,2012,860.24,11.55
FRA,2013,939.53,11.1
FRA,2014,931.17,12.5
FRA,2015,716.54,12.25
FRA,2016,805.01,11.79
FRA,2017,736.43,11.98
FRA,2018,882.03,12.67
FRA,2019,832.87,12.39
FRA,2020,818.96,12.73
FRA,2021,822.72,11.58
FRA,2022,651.46,13.18
SRB,1990,573.49,11.28
SRB,1991,812.28,10.04
SRB,1992,644.04,11.3
SRB,1993,601.49,10.51
SRB,1994,618.31,11.96
SRB,1995,847.14,10.76
SRB,1996,834.35,9.94
SRB,1997,703.07,10.36
SRB,1998,780.37,10.81
SRB,1999,893.14,11.05
SRB,2000,489,12.13
SRB,2001,771.91,11.04
SRB,2002,751.9,11.9
SRB,2003,660.4,11
SRB,2004,859.91,10.77
SRB,2005,905.23,10.37
SRB,2006,746.63,11.13
SRB,2007,799.55,12.23
SRB,2008,717.96,12.04
SRB,2009,816.47,11.97
SRB,2010,1019.78,10.98
SRB,2011,508.36,11.37
SRB,2012,675.07,11.89
SRB,2013,778.86,11.78
SRB,2014,978.7,12.46
SRB,2015,718.83,12.28
SRB,2016,902.86,11.68
SRB,2017,698.31,11.84
SRB,2018,736.55,12.66
SRB,2019,770.61,12.85
SRB,2020,727.84,12.18
SRB,2021,779.1,11.55
SRB,2022,643.53,12.53
